Pitcher,PitcherTeam,ArsenalStuffPlus,TotalPitches
"Coppola, Christian",STJ_HAW,120.4,470
"Meyer, Chase",WES_MOU,117.4,77
"Garcia, Santiago",LSU_TIG,116.0,284
"Peterson, Liam",FLA_GAT,115.8,926
"Whitney, Dax",ORE_BEA,115.8,792
"Leffew, Haiden",TEX_LON,115.7,198
"Lopez, Daniel",KAN_JAY,115.4,161
"Leon, Kadyn",OKL_SOO,115.2,356
"Calzadiaz, Kyle",SAN_SPA,115.0,323
"Baird, Tim",MAR_THU,114.3,223
"Barberi, Jackson",FLA_GAT,114.2,477
"Vigue, Dylan",GEO_BUL,114.2,686
"Sanford, Will",ORE_DUC,114.1,764
"Jasa, Carson",NEB,113.9,797
"Ziermann, Tj",UNC_SEA,113.9,213
"Levonas, Chris",WAK_DEA,113.8,772
"O'Donnell, Landon",USF_BUL,113.8,124
"Van Kempen, Gavin",ECU_PIR,113.6,495
"Flukey, Cameron",COA_CHA,113.5,65
"Giordano, Jack",ORE_BEA,113.5,123
"Townsend, Cade",OLE_REB,113.3,529
"Raab, JT",GEO_HOY,113.3,302
"Bryans, Beau",JAC_GAM,113.0,619
"Lund, Ethan",OKL_COW,112.9,905
"Schmidt, William",LSU_TIG,112.8,904
"Volchko, Joey",GEO_BUL,112.7,852
"Nottingham, Joe",GEO_BUL,112.7,165
"Roblez, Albert",ORE_BEA,112.6,191
"Stokes, Cole",FLO_SEM,112.6,217
"Eldem, Levent",FGCU,112.4,154
"Williams, Peyton",KS_GF,112.4,210
"Higgins, Nolan",MIC_SPA,112.4,479
"Hunter, Tristan",KEN_WIL,112.3,260
"Calhoun, Hudson",OLE_REB,112.3,490
"Lachenmayer, Danny",LSU_TIG,112.3,74
"Paz, Marcos",LSU_TIG,112.2,327
"Larson, Sam",TUL_GRE,112.1,432
"Yoder, Noah",VIR_CAV,112.1,401
"Edwards, Mason",SOU_TRO,112.0,980
"Burns, Dane",MSU_BDG,112.0,180
"Proskey, Calvin",SAN_GAU,111.9,59
"Butler, Tazwell",KAN_WIL,111.9,409
"Sheerin, Deven",LSU_TIG,111.9,398
"Dietz, Hunter",ARK_RAZ,111.9,994
"Velazquez, Diego",SOU_TRO,111.8,187
"Queen, Wyatt",ORE_BEA,111.7,309
"Flora, Jackson",SAN_GAU,111.7,995
"Franco, Noah",TCU_HFG,111.7,146
"Sagouspe, Tanner",TCU_HFG,111.6,367
"Peters, Zachary",VCU_RAM,111.6,545
"Veasey, Ariston",CLE_TIG,111.5,222
"Linder, Colin",ARI_SUN,111.5,613
"Iwanaga, Elai",UCLA,111.5,126
"Pocol, Ashton",FGCU,111.4,307
"Adcock, Nile",KEN_WIL,111.4,351
"Stewart, Joshua",TEX_AGG,111.4,89
"Debiec, Max",MIC_WOL,111.3,273
"Morales, Justin",BET_WIL,111.3,76
"Buczkowski, Adam",CIN_BEA,111.2,377
"Simmerson, Hayden",CLE_TIG,111.2,295
"Piech, Ryan",XAV_MUS,111.1,701
"Alivo, Kyle",IOW_HAW,111.1,400
"Rahe, Boede",KAN_JAY,111.1,446
"Whelan, Will",MIN_GOL,111.1,122
"Mentzel, Kyler",HBU_HUS,111.1,192
"Sims, Aiden",TEX_AGG,111.0,891
"Brasch, Cody",LOU_CAJ,111.0,599
"Nye, Austin",VAN_COM,111.0,124
"Clark, Camden",SOU_GOL,111.0,282
"DeCaro, Jason",NOR_TAR,110.9,833
"Krodel, Andrew",SAN_GAU,110.9,403
"Sandefer, Russell",FLA_GAT,110.9,439
"Stillman, Aiden",VAN_COM,110.8,78
"Helman, Nate",KEN_OWL,110.8,347
"Martinez, Carlos",HOF_PRI,110.8,579
"Moore, Bryson",FLO_SEM,110.8,652
"Yoak, Bryant",WES_MOU,110.7,155
"Bayles, Max",SAN_BRO,110.7,843
"Odom, Leo",OLE_REB,110.7,56
"McDowell, Drew",SOU_JAC,110.7,98
"Walls, Brody",TEX_LON,110.6,242
"Bergman, Jackson",IU,110.6,151
"Ohman, Jack",YAL_BUL,110.6,418
"Dossett, Cooper",ARK_RAZ,110.6,159
"Sandford, Schuyler",FLA_GAT,110.6,296
"Burns, Thomas",TEX_LON,110.6,213
"Rose, Ethan",ECU_PIR,110.6,414
"Eddy, Gavin",CAL_BEA,110.5,892
"Riojas, Ruger",TEX_LON,110.5,763
"Egbert, Thomas",PEN_QUA,110.5,111
"Randall, Cal",UCLA,110.4,313
"Halvorson, Wyatt",ARI_SUN,110.4,105
"Nayral, Mathis",KAN_JAY,110.4,652
"Winter, Michael",TEX_LON,110.4,116
"Craytor, Luke",VIR_TEC,110.4,267
"Jaisle, Will",NOT_IRI,110.3,177
"Robertson, JP",OLE_REB,110.3,271
"Weber, Colby",ECU_PIR,110.3,309
"Rabe, Taylor",OLE_REB,110.3,390
"Adelmann, Jonathan",BUC_BIS,110.3,449
"Nelson, Drew",TRO_TRJ,110.3,137
"Lafflam, Jack",ARI_WIL,110.3,212
"Finkbeiner, Tyler",MIC_WOL,110.2,171
"Rerick, Drew",OKL_SOO,110.2,54
"Dickson, Drew",NOR_CAT,110.2,189
"Nachtsheim, Eric",MCN_COW,110.2,797
"Stone, Duke",MSU_BDG,110.2,802
"Guidry, Gavin",LSU_TIG,110.1,464
"Langbehn, Nate",TOL_ROC,110.1,301
"McPherson, Ryan",MSU_BDG,110.0,505
"Goldenbaum, Matt",CRE_BLU,110.0,150
"Dathe, Dax",LSU_TIG,110.0,69
"Luzarraga, Max",DAL_PAT,110.0,206
"Jones, Evan",WAK_DEA,109.9,419
"Overbay, Alex",ARI_SUN,109.8,577
"Fliss, Michael",TOL_ROC,109.8,458
"Dean, Ben",DUK_BLU,109.8,493
"Benzor, Michael",DAL_PAT,109.8,269
"Horn, Drew",MTSU_BLU,109.8,549
"English, Kellen",IU,109.8,227
"Markham, Cooper",ORE_DUC,109.7,59
"Pitzer, Tyler",MSU_BDG,109.7,219
"Seagraves, Camron",NOR_TAR,109.7,220
"Malki, Michael",CAL_LAN,109.7,878
"Hill, Dalton",NIC_COL,109.7,157
"Smith, Kaden",USF_BUL,109.7,440
"Alwood, Luke",SEA_RED,109.7,515
"Cozart, Sam",TEX_LON,109.6,483
"Klecker, Kole",ARI_SUN,109.6,718
"Ferris, Kash",ORA_GOL,109.6,233
"Lynch, Ryan",NOR_TAR,109.6,904
"King, Gavin",MTSU_BLU,109.5,558
"Soares, Gavin",BOC_EAG,109.5,240
"Alonso, Dylan",TRO_TRJ,109.5,424
"Renfrow, Brett",VIR_TEC,109.5,679
"Troy, Adam",SOU_TRO,109.5,383
"Erspamer, Mike",STA_CAR,109.5,302
"Bixby, Mason",OKL_SOO,109.4,252
"Johnston, Gavin",SOU_RED,109.4,154
"Kuhns, Tegan",TEN_VOL,109.4,822
"Libbert, Wil",OLE_REB,109.3,499
"Marohn, Ryan",NOR_WOL,109.3,727
"Morton, Isaac",MIN_GOL,109.3,544
"Wimbish, Camden",CAM_CAM,109.3,608
"St. Pierre, Brady",SOU_LIO,109.2,451
"Peterson, Ryan",SAM_BEA,109.1,485
"West, Manning",KAN_JAY,109.1,404
"Richardson, Hyatt",FGCU,109.1,399
"Masonis, Clay",UNC_SEA,109.1,329
"Bryan, Tyler",HOU_COU,109.1,335
"Foley, Matthew",IWC,109.1,222
"Darling, Connor",PEN_QUA,109.1,326
"Bradley, Tanner",ORE_DUC,109.0,362
"Govel, Grant",SOU_TRO,109.0,847
"LaPour, Tommy",TCU_HFG,109.0,85
"Pressley, Devin",GAR_RUN,109.0,64
"Bosley-Smith, Collin",LIP_BIS,109.0,227
"Rhodes, Parker",MSU_BDG,109.0,110
"Stroman, Jayden",VIR_CAV,109.0,382
"Sutherland, Curry",MIS_BEA,108.9,176
"Valincius, Tomas",MSU_BDG,108.9,897
"Graf, Owen",OSU_BUC,108.9,51
"Andre, William",SAM_BUL,108.9,340
"Rogovic, Andrew",NOR_HUS,108.9,274
"Seebold, Gavin",IU,108.9,454
"Shadek, Justin",GIT_YEL,108.9,334
"Kribbs, Andrew",CHA_FOR,108.8,175
"Murdock, Steele",CSD_TRI,108.8,919
"Foxson, Tate",UNL_REB,108.8,300
"Hard, Sean",BOC_EAG,108.8,278
"Byrd, Justin",GEO_BUL,108.7,524
"Webb, Maddox",MSU_BDG,108.7,266
"Gomez, Joe",LON_LAN,108.7,88
"Buxton, Eli",ARI_SUN,108.7,210
"Brown, Chad",CIN_BEA,108.7,384
"Edwards, Finn",ARI_SUN,108.7,217
"Bryan, England",VAN_COM,108.6,57
"Eisenreich, Logan",VIR_TEC,108.6,375
"Johnson, Cameron",OKL_SOO,108.6,745
"Crossland, Brett",TEX_LON,108.6,240
"Keenan, Aidan",STA_CAR,108.6,295
"Vargas, Juan",TEX_AGG,108.6,273
"Dorsey, Chandler",UCF_KNI,108.6,116
"Segura, Eric",ORE_BEA,108.5,522
"Glauber, Caden",NOR_TAR,108.5,723
"Scolari, Cal",ORE_DUC,108.5,546
"Toro, Brayden",STE_HAT,108.5,373
"Baker, Jackson",HOU_COU,108.5,185
"Gisclair, Nick",SOU_LIO,108.5,196
"Schlote, Nate",VAN_COM,108.4,295
"Fitzpatrick, Sean",ARI_SUN,108.4,306
"Addari, Michael",ILL_RED,108.4,574
"Yehl, Maxx",WES_MOU,108.4,811
"Williford, Trey",UNC_SEA,108.3,464
"Schneider, Maxwell",LOY_LIO,108.3,304
"Baird, Tyler",VAN_COM,108.3,499
"Marshburn, Connor",UNC_SEA,108.3,704
"Buursema, Porter",GIT_YEL,108.3,427
"Antolick, Brett",ECU_PIR,108.3,181
"Leininger, Nathan",TOL_ROC,108.3,670
"Cervantes, Angel",UCLA,108.3,391
"Wood, Dylan",GEO_BUL,108.3,98
"Lewis, Donte",KAN_WIL,108.2,81
"Evans, Casan",LSU_TIG,108.2,893
"Lynch, Ryan",COA_CHA,108.2,148
"Nadeau, Wyatt",VAN_COM,108.2,577
"Cooper, Wade",TEX_BOB,108.2,448
"Johnston, Jett",AUB_TIG,108.2,343
"Bergman, Brayden",BAY_BEA,108.1,271
"Duncan, Avery",DAL_PAT,108.1,394
"McNeillie, Luke",FLA_GAT,108.1,460
"Whritenour, Joshua",FLA_GAT,108.1,412
"Waters, Landon",OLE_REB,108.1,198
"Guyette, James",KAN_WIL,108.1,884
"Matthijs, Matthew",NOR_TAR,108.1,301
"Unga, Anthony",CRE_BLU,108.0,55
"Caldwell, Jackson",UNC_SEA,108.0,306
"Shouse, Connor",TEX_RAI,108.0,97
"Santos, Manny",RHO_RAM,108.0,251
"Gaeckle, Gabe",ARK_RAZ,108.0,722
"Hansen, Trevor",CAL_ANT,108.0,638
"Brailey, Beau",CAM_CAM,107.9,275
"Olsen, Carson",CAL_LAN,107.9,299
"Carlisle, Sam",WMI_BRO,107.9,303
"Zaborowski, Landon",UTA_WOL,107.9,168
"Kenney, Noah",WAS_HUS,107.9,882
"Vincent, Hunter",TEX_AGG,107.9,137
"Miller, Maddox",MSU_BDG,107.9,209
"Kircher, Jackson",ARK_RAZ,107.9,131
"Scott, Matt",GEO_BUL,107.9,613
"Bunting, Brody",LIT_TRO,107.9,152
"Stern, Nate",TCU_HFG,107.9,375
"Airington, Cody",AUS_GOV,107.9,524
"Beard, Trey",FLO_SEM,107.8,730
"Evaniew, Isaac",LIT_TRO,107.8,306
"Combs, Ryan",CHA_FOR,107.8,280
"Huether, JT",WES_MOU,107.8,51
"Bordelon, Joe",NIC_COL,107.8,176
"Levari, Marco",LAS_EXS,107.8,143
"Kantola, Kaleb",LIP_BIS,107.8,202
"Maloney, Colin",RHO_RAM,107.8,88
"Crowl, Preston",VIR_TEC,107.8,549
"Turnquist, Carson",CAL_MUS,107.8,597
"Hartzell, Warren",WRI_RAI,107.7,134
"Theophilus, Zion",LSU_TIG,107.7,180
"Mitchell, Jackson",BIN_BEA,107.7,360
"Freshcorn, Clayton",TEX_AGG,107.7,322
"Royal, Hunter",LIT_TRO,107.7,90
"Gleason, Zach",RUT_SCA,107.7,419
"Mackey, Cayden",USC_UPS,107.7,340
"Grack, Timothy",CAL_ANT,107.7,222
"Manuel, Truitt",NOR_WOL,107.6,84
"Dressler, Troy",WAK_DEA,107.6,657
"Reimers, Max",SAN_BRO,107.6,104
"Blair, Benjamin",LIB_FLA,107.6,914
"Kimball, Blake",SIU_SAL,107.6,322
"Thomas, Brady",JAC_GAM,107.5,167
"Whalen, Drew",AUB_TIG,107.5,179
"Lenius, Ian",UTA_UTE,107.5,148
"Lippman, Sebastian",FGCU,107.5,329
"West, Charles",UCO_HUS,107.5,621
"Vaughn, Rhett",FLO_SEM,107.5,94
"Sweum, Karsten",GON_BUL,107.4,875
"Strickland, Zach",UCLA,107.4,409
"Bennett, Brendon",CLE_TIG,107.4,230
"Birchard, Owen",BRY_BUL,107.4,261
"Sumner, Garrison",BYU_COU,107.4,716
"Kulik, Marcel",AUB_TIG,107.4,116
"Bauer, Jack",MSU_BDG,107.4,176
"Kreis, Take",CAL_BEA,107.4,239
"Krakoski, Jason",CAL_FUL,107.4,55
"Fair, Carson",MT,107.4,285
"Knipper, Armani",DAL_PAT,107.3,230
"Lambert, Brock",HBU_HUS,107.3,247
"Bahl, Jaden",MCN_COW,107.3,427
"Hood, Landon",GON_BUL,107.3,510
"Fowler, Peyton",MSU_BDG,107.3,66
"Fortner, Jack",MTSU_BLU,107.3,132
"Thames, Ty",RIC_OWL,107.3,443
"Gaines, Andrew",STJ_HAW,107.3,334
"Shineflew, Jaxon",SAL_JAG,107.3,607
"Hawk, Easton",UCLA,107.3,370
"Soske, Payton",COL_LION,107.2,196
"Feehery, Jack",DUK_BLU,107.2,53
"McGuire, Tate",ARK_RAZ,107.2,446
"Griffin, Conner",BIN_BEA,107.2,518
"Radel, Jack",NOT_IRI,107.2,843
"Tarango, Caden",TUL_GRE,107.2,96
"Cullen, Jake",RHO_RAM,107.2,535
"Jones, Evan",UCF_KNI,107.2,463
"Coppersmith, Zane",STE_HAT,107.2,279
"Jelkin, Jaxon",KEN_WIL,107.2,872
"Pruett, Brad",GEO_BUL,107.2,160
"Alveti, Gavin",AUS_GOV,107.2,378
"Jones, Gavyn",OKL_SOO,107.2,234
"Isler, Nate",DAR_GRE,107.1,488
"McElvain, Ethan",ARK_RAZ,107.1,345
"Reich, Ryan",SET_PIR,107.1,342
"Powell, Cooper",TEX_AGG,107.1,65
"Ralamb, Karl",BEL_KNI,107.1,225
"McCain, Bryce",AUS_GOV,107.1,288
"Music, Jett",CAM_CAM,107.1,210
"Toups, Nik",SOU_LIO,107.1,578
"Lee, Aidan",GRA_CAN,107.1,131
"Grotyohann, Connor",RHO_RAM,107.1,144
"Eich, Billy",KAN_WIL,107.1,76
"Clark, Cooper",CAM_CAM,107.1,423
"Kimbrell, Bryant",WCC,107.1,257
"Jones, Wesley",CHA_FOR,107.1,349
"Bell, Devin",ORE_DUC,107.0,210
"Penn, Taylor",ARI_SUN,107.0,496
"Volantis, Dylan",TEX_LON,107.0,697
"Foster, Charlie",MSU_BDG,107.0,379
"Spencer, Jacob",IND_SYC,107.0,73
"Suarez, Danny",CAL_ANT,107.0,119
"Lopez, Tomas",COL_LION,107.0,277
"Shaffer, Braxton",CAM_CAM,107.0,284
"Greaney, Nick",LOU_BUL,107.0,94
"Mullan, Ryan",KEN_WIL,106.9,199
"Blachowicz, Gavin",NEB,106.9,555
"Nash, Jackson",LON_LAN,106.9,396
"Crider, Nate",LOU_BUL,106.9,311
"Moss, Wylan",UCLA,106.9,545
"Schuerman, Jeter",CSU_BAK,106.9,311
"Scavone, Tommy",PEP_WAV,106.9,732
"Hayse, Aidan",MER_BEA,106.9,207
"Knight, Max",MIS_BEA,106.9,619
"Richard, Karsen",WIC_SHO,106.9,213
"Stieg, Griffin",VIR_TEC,106.9,846
"Downing, John",SET_PIR,106.9,79
"Lugo, Ernesto",FLA_GAT,106.9,185
"Espinoza, Otto",CAL_BEA,106.9,563
"Yarberry, Jackson",IU,106.8,480
"Cormier, LJ",AUB_TIG,106.8,359
"McClaskey, Mickey",GON_BUL,106.8,319
"Collera, Lazaro",MIA_HUR,106.8,775
"Cleveland, Jackson",OKL_SOO,106.8,326
"Evans, Andrew",SIU_SAL,106.8,870
"Abraham, John",FLO_SEM,106.8,545
"Hultquist, Henry",DAV_WIL,106.8,54
"Calveric, Luke",WM_TRI,106.7,420
"Winslow, Ben",YAL_BUL,106.7,377
"Gomez, Cohen",STA_CAR,106.7,451
"Kennedy, Colton",UTA_WOL,106.7,778
"Connell, Shane",TEX_BOB,106.7,165
"Coe, Brady",ABI_WIL,106.7,310
"Phillips, Amp",SOU_GAM,106.7,792
"Knier, Chris",FLO_SEM,106.7,365
"Hamilton, Hudson",TEX_LON,106.7,162
"Steele, Mason",UAB_BLA,106.7,768
"Purcell, Brodie",FLO_SEM,106.6,416
"Guerin, Tyler",IOW_HAW,106.6,533
"Brassfield, Mason",TCU_HFG,106.6,715
"Jones, Jake",CEN_BEA,106.6,251
"Rizy, Mavrick",LSU_TIG,106.6,412
"Berggren, Austin",MIA_RED,106.6,307
"Doran, Scott",COA_CHA,106.6,334
"Bassi, Nick",NIU_HUS,106.5,192
"Teel, Easton",ORA_GOL,106.5,755
"Lewis, Cooper",GEO_PAN,106.5,329
"Eaves, Steele",ARK_RAZ,106.5,378
"Talavs, Drew",SAN_AZT,106.5,700
"Horn, Tyner",NEB,106.5,741
"Spivey, Caden",GIT_YEL,106.5,191
"Dawson, Drew",CHA_BUC,106.5,330
"Taylor, Nathan",CIN_BEA,106.4,922
"Schaefer, Derek",ARI_SUN,106.4,326
"Michael, Peter",LOU_CAR,106.4,310
"Sutton, Ethan",USF_BUL,106.4,389
"Kennedy, Jacob",OKL_COW,106.4,241
"Pumphrey, Cooper",EKU_COL,106.4,259
"Fontenot, Grant",LSU_TIG,106.4,280
"Vorster, Kian",LOU_CAR,106.4,108
"White, Landon",BRY_BUL,106.4,116
"Morgan, Luke",ORE_DUC,106.4,240
"Young, Ike",ILL_ILL,106.4,278
"McDevitt, Josh",MIZ_TIG,106.3,936
"O'Leary, Cade",FLO_SEM,106.3,266
"Sarhatt, Michael",IU,106.3,323
"Jones, Charlie",HIG_PAN,106.3,96
"Sparks, Will",SAL_JAG,106.3,59
"Spurrier, Zak",SAM_BUL,106.3,389
"Ryan, Brayden",MAR_TER,106.3,514
"Harsch, Marcelo",WAK_DEA,106.3,274
"Perry, Gavin",WES_HIL,106.3,761
"Petrovic, Alex",AUB_TIG,106.3,737
"Voegele, Dominic",KAN_JAY,106.3,842
"Shurtleff, Thomas",PEN_QUA,106.3,741
"Olivier, Chris",LAM_CAR,106.3,750
"Roman, Richie",HOU_COU,106.3,204
"Trosclair, Brody",NOR_DEM,106.3,474
"Lee, Justin",UCLA,106.3,165
"Hughes, Ryan",TOL_ROC,106.2,291
"Smith, Miles",KAN_WIL,106.2,267
"Jannicelli, Josh",SAN_GAU,106.2,345
"Jamison, Adam",LIP_BIS,106.2,501
"Bowerman, Josh",ALA_LIO,106.2,100
"Carlon, Cole",ARI_SUN,106.2,900
"Upchurch, Myles",ALA_CRI,106.2,623
"Mendes, Wes",FLO_SEM,106.2,957
"Gray, Nate",BYU_COU,106.2,822
"Gutierrez, Diego",SAN_TOR,106.2,898
"Pendley, Brady",GEO_EAG,106.2,790
"Grim, Ethan",VIR_TEC,106.1,371
"Shannon, Brandon",LOU_CAR,106.1,295
"Roig, Jose",STE_HAT,106.1,133
"Decker-Petty, Aydan",LIB_FLA,106.1,249
"Prisco, Logan",SOU_GAM,106.1,291
"Underwood, Cody",LIP_BIS,106.1,390
"Sampson, Beau",TUL_GRE,106.1,364
"Stiffler, Mac",WES_MOU,106.1,114
"Brown, Dion",CLE_TIG,106.1,330
"Jennings, Parker",OKL_COW,106.1,240
"Norman, Ross",COA_CHA,106.1,749
"O'Brien, Liam",HAW_WAR,106.1,168
"Clark, Jackson",NAV_MID,106.1,358
"Riley, Tyrus",FLO_PAN,106.1,530
"LeMaster, Dane",LIP_BIS,106.1,78
"Voorhies, James",CAL_MAT,106.1,352
"Fay, Tyler",ALA_CRI,106.1,832
"Ellisen, Thomas",GEO_BUL,106.1,240
"Parker, Daniel",COA_CHA,106.1,343
"Kapa, Tyler",VIR_CAV,106.1,344
"Moyzan, Ben",DEL_BLU,106.0,439
"O'Brien, Finbar",GON_BUL,106.0,564
"Owens, Brady",WIC_SHO,106.0,226
"Swenson, Jacob",UCLA,106.0,128
"Urban, Adam",MIN_GOL,106.0,201
"Collier, Trent",OKL_SOO,106.0,256
"Bingler, Alex",JMU_DUK,106.0,60
"Grove, Tanner",CAL_BEA,106.0,155
"Bean, Jake",LOU_CAR,106.0,545
"Yeager, Isaac",ORE_BEA,106.0,276
"Oliva, Steven",UTR_VAQ,106.0,117
"Capacete, Alfredo",CAL_LAN,106.0,240
"Story, Dylan",HIG_PAN,105.9,159
"Kohlhoff, Keagen",MIZ_TIG,105.9,74
"Hargett, Hunter",SAN_BRO,105.9,216
"Rossow, David",CAM_CAM,105.9,723
"Silverstein, Justin",HIG_PAN,105.9,205
"Torres, Jayson",MAR_TER,105.9,111
"Achee, Connor",MCN_COW,105.9,338
"O'Leary, Liam",STJ_RED,105.9,822
"Rhodes, Stormy",OKL_COW,105.9,586
"Hoeckele, Evan",STJ_RED,105.9,312
"Baumler, Trever",TCU_HFG,105.9,548
"Dubie, Peter",BRO_BEA,105.9,647
"Billingsley, Chris",MSU_BDG,105.9,316
"Dempsey, Evan",FGCU,105.9,735
"Caughey, Ciaran",KS_GF,105.9,659
"Tymick, Mason",LON_DIR,105.9,205
"Littleton, Bruce",SOU_GOL,105.9,162
"Sheehy, Ryan",OLD_MON,105.9,164
"Meyer, Myles",MCN_COW,105.9,61
"Mastalski, Ivan",IU,105.8,511
"Cook, Mason",KAN_JAY,105.8,427
"Gillen, Michael",UCF_KNI,105.8,141
"Donnison, Matt",ILL_RED,105.8,51
"Morningstar, Blake",WAK_DEA,105.8,605
"Diaz, Chris",FGCU,105.8,572
"King, Devon",CSD_TRI,105.8,378
"Wade, Lance",MIS_BEA,105.8,236
"Kleinschmit, Ethan",ORE_BEA,105.8,787
"Selvig, Cole",MIN_GOL,105.8,530
"Crews, Jacob",GEO_PAN,105.8,299
"Kruzan, Marcus",MIN_GOL,105.8,269
"Nestler, Jack",STJ_RED,105.8,393
