Pitcher,PitcherTeam,PitchType,pitch_type,Pitches,StuffPlus,AvgVelo,AvgIVB,AvgHB,AvgSpin,AvgVAA,AvgExtension
,DEL_HOR,Slider,SL,100,57.1,67.2,25.1,-0.0,2925.8,-5.6,12.5
,NOR_AGG,Changeup,CH,60,97.4,78.5,7.9,-11.4,1900.8,-6.3,6.0
,NOR_AGG,Curveball,CU,29,103.9,78.1,-4.5,-3.6,2183.0,-8.1,5.7
,NOR_AGG,Four-Seam,FF,20,96.8,91.4,16.7,9.0,2133.3,-4.8,6.7
"Aasland, Tristan",UCO_HUS,Changeup,CH,43,96.9,80.9,5.8,12.9,1410.8,-7.9,6.2
"Aasland, Tristan",UCO_HUS,Curveball,CU,24,103.2,77.3,-7.7,-3.1,1980.0,-8.9,6.1
"Aasland, Tristan",UCO_HUS,Four-Seam,FF,56,91.6,88.1,18.0,10.1,2081.4,-5.1,6.3
"Aasland, Tristan",UCO_HUS,Splitter,FS,47,97.7,78.7,1.6,9.6,1033.6,-7.9,6.1
"Aasland, Tristan",UCO_HUS,Sinker,SI,33,88.6,88.0,14.7,14.2,2082.0,-5.3,6.3
"Abadie, Connor",SAN_AZT,Changeup,CH,107,88.4,83.0,10.7,-17.6,2082.3,-6.1,5.3
"Abadie, Connor",SAN_AZT,Curveball,CU,32,100.8,73.1,2.1,9.3,2245.2,-7.9,5.0
"Abadie, Connor",SAN_AZT,Sinker,SI,40,87.3,86.5,15.4,-15.1,2195.8,-5.6,5.3
"Abadie, Connor",SAN_AZT,Slider,SL,13,100.2,76.0,4.1,5.7,2290.6,-7.5,5.2
"Abbadessa, Jude",TUL_GRE,Changeup,CH,54,100.3,85.7,4.9,16.3,1952.0,-7.3,5.7
"Abbadessa, Jude",TUL_GRE,Curveball,CU,33,104.8,81.1,-4.1,-12.3,2334.7,-8.2,4.9
"Abbadessa, Jude",TUL_GRE,Four-Seam,FF,112,93.5,91.7,14.3,8.1,2178.6,-5.4,5.7
"Abbadessa, Jude",TUL_GRE,Sinker,SI,106,94.1,91.8,10.4,15.4,2114.0,-6.4,5.7
"Abbadessa, Jude",TUL_GRE,Slider,SL,205,104.6,82.3,1.2,-9.9,2374.4,-7.6,5.0
"Abell, Mark",ARM_BLA,Curveball,CU,35,104.5,77.3,-2.1,-15.5,2691.6,-8.4,5.3
"Abell, Mark",ARM_BLA,Four-Seam,FF,102,100.1,90.9,15.7,12.3,2352.9,-4.9,5.9
"Abell, Mark",ARM_BLA,Sinker,SI,130,95.1,90.1,12.4,16.2,2330.0,-5.4,5.9
"Abell, Mark",ARM_BLA,Slider,SL,50,105.8,79.5,2.8,-15.3,2699.3,-7.2,5.4
"Aber, Hudson",SAN_GAU,Four-Seam,FF,22,97.2,89.5,16.6,7.3,2335.4,-5.5,6.1
"Abercrombie, Justin",UTA_UTE,Changeup,CH,30,105.2,79.5,3.6,9.8,1996.4,-7.8,6.1
"Abercrombie, Justin",UTA_UTE,Curveball,CU,16,105.3,79.0,-5.6,-1.1,2307.3,-9.7,5.9
"Abercrombie, Justin",UTA_UTE,Four-Seam,FF,225,101.7,91.9,17.7,4.7,2254.5,-5.6,6.4
"Abercrombie, Justin",UTA_UTE,Splitter,FS,35,107.0,80.0,3.5,8.1,807.0,-7.6,6.0
"Abercrombie, Justin",UTA_UTE,Slider,SL,29,103.7,81.4,3.4,-2.4,2199.5,-8.3,5.9
"Abler, Andrew",HAR_CRI,Changeup,CH,60,95.5,79.6,8.6,13.9,1690.0,-6.6,5.6
"Abler, Andrew",HAR_CRI,Curveball,CU,236,103.4,73.6,-7.5,-9.1,2195.0,-9.8,5.2
"Abler, Andrew",HAR_CRI,Cutter,FC,107,91.9,85.9,16.1,1.2,2280.9,-5.7,5.9
"Abler, Andrew",HAR_CRI,Four-Seam,FF,103,95.9,86.8,18.2,4.0,2323.6,-5.6,5.9
"Abler, Andrew",HAR_CRI,Slider,SL,145,99.3,81.0,6.6,-3.4,2283.8,-7.5,5.5
